date,open,high,low,close,adj close,volume
"Feb 27, 2024",204.04,205.60,198.26,199.73,199.73,108645400
"Feb 26, 2024",192.29,201.78,192.00,199.40,199.40,111747100
"Feb 23, 2024",195.31,197.57,191.50,191.97,191.97,78841900
"Feb 22, 2024",194.00,198.32,191.36,197.41,197.41,92739500
"Feb 21, 2024",193.36,199.44,191.95,194.77,194.77,103844000
"Feb 20, 2024",196.13,198.60,189.13,193.76,193.76,104545800
"Feb 16, 2024",202.06,203.17,197.40,199.95,199.95,111173600
"Feb 15, 2024",189.16,200.88,188.86,200.45,200.45,120831800
"Feb 14, 2024",185.30,188.89,183.35,188.71,188.71,81203000
"Feb 13, 2024",183.99,187.26,182.11,184.02,184.02,86759500
"Feb 12, 2024",192.11,194.73,187.28,188.13,188.13,95498600
"Feb 9, 2024",190.18,194.12,189.48,193.57,193.57,84476300
"Feb 8, 2024",189.00,191.62,185.58,189.56,189.56,83034000
"Feb 7, 2024",188.18,189.79,182.68,187.58,187.58,111535200
"Feb 6, 2024",177.21,186.49,177.11,185.10,185.10,122676000
"Feb 5, 2024",184.26,184.68,175.01,181.06,181.06,134294400
"Feb 2, 2024",185.04,188.69,182.00,187.91,187.91,110505100
"Feb 1, 2024",188.50,189.88,184.28,188.86,188.86,91843300
"Jan 31, 2024",187.00,193.97,185.85,187.29,187.29,103221400
"Jan 30, 2024",195.33,196.36,190.61,191.59,191.59,109982300
"Jan 29, 2024",185.63,191.48,183.67,190.93,190.93,125013100
"Jan 26, 2024",185.50,186.78,182.10,183.25,183.25,107343200
"Jan 25, 2024",189.70,193.00,180.06,182.63,182.63,198076800
"Jan 24, 2024",211.88,212.73,206.77,207.83,207.83,123369900
"Jan 23, 2024",211.30,215.65,207.75,209.14,209.14,106605900
"Jan 22, 2024",212.26,217.80,206.27,208.80,208.80,117952500
"Jan 19, 2024",209.99,213.19,207.56,212.19,212.19,102095800
"Jan 18, 2024",216.88,217.45,208.74,211.88,211.88,108595400
"Jan 17, 2024",214.86,215.67,212.01,215.55,215.55,103164400
"Jan 16, 2024",215.10,223.49,212.18,219.91,219.91,115355000
"Jan 12, 2024",220.08,225.34,217.15,218.89,218.89,122889000
"Jan 11, 2024",230.57,230.93,225.37,227.22,227.22,105873600
"Jan 10, 2024",235.10,235.50,231.29,233.94,233.94,91628500
"Jan 9, 2024",238.11,238.96,232.04,234.96,234.96,96705700
"Jan 8, 2024",236.14,241.25,235.30,240.45,240.45,85166600
"Jan 5, 2024",236.86,240.12,234.90,237.49,237.49,92379400
"Jan 4, 2024",239.25,242.70,237.73,237.93,237.93,102629300
"Jan 3, 2024",244.98,245.68,236.32,238.45,238.45,121082600
"Jan 2, 2024",250.08,251.25,244.41,248.42,248.42,104654200
"Dec 29, 2023",255.10,255.19,247.43,248.48,248.48,100615300
"Dec 28, 2023",263.66,265.13,252.71,253.18,253.18,113619900
"Dec 27, 2023",258.35,263.34,257.52,261.44,261.44,106494400
"Dec 26, 2023",254.49,257.97,252.91,256.61,256.61,86892400
"Dec 22, 2023",256.76,258.22,251.37,252.54,252.54,93249800
"Dec 21, 2023",251.90,254.80,248.55,254.50,254.50,109594200
"Dec 20, 2023",256.41,259.84,247.00,247.14,247.14,125097000
"Dec 19, 2023",253.48,258.34,253.01,257.22,257.22,106737400
"Dec 18, 2023",253.78,258.74,251.36,252.08,252.08,116416500
"Dec 15, 2023",251.21,254.13,248.30,253.50,253.50,135720800
"Dec 14, 2023",241.22,253.88,240.79,251.05,251.05,160829200
"Dec 13, 2023",234.19,240.30,228.20,239.29,239.29,146286300
"Dec 12, 2023",238.55,238.99,233.87,237.01,237.01,95328300
"Dec 11, 2023",242.74,243.44,237.45,239.74,239.74,97913900
"Dec 8, 2023",240.27,245.27,239.27,243.84,243.84,102980100
"Dec 7, 2023",241.55,244.08,236.98,242.64,242.64,107142300
"Dec 6, 2023",242.92,246.57,239.17,239.37,239.37,126436200
"Dec 5, 2023",233.87,246.66,233.70,238.72,238.72,137971100
"Dec 4, 2023",235.75,239.37,233.29,235.58,235.58,104099800
"Dec 1, 2023",233.14,240.19,231.90,238.83,238.83,121173500
"Nov 30, 2023",245.14,245.22,236.91,240.08,240.08,132353200
"Nov 29, 2023",249.21,252.75,242.76,244.14,244.14,135401300
"Nov 28, 2023",236.68,247.00,234.01,246.72,246.72,148549900
"Nov 27, 2023",236.89,238.33,232.10,236.08,236.08,112031800
"Nov 24, 2023",233.75,238.75,232.33,235.45,235.45,65125200
"Nov 22, 2023",242.04,244.01,231.40,234.21,234.21,117950600
"Nov 21, 2023",235.04,243.62,233.34,241.20,241.20,122288000
"Nov 20, 2023",234.04,237.10,231.02,235.60,235.60,116320100
"Nov 17, 2023",232.00,237.39,226.54,234.30,234.30,142532800
"Nov 16, 2023",239.49,240.88,230.96,233.59,233.59,136816800
"Nov 15, 2023",239.29,246.70,236.45,242.84,242.84,150354000
"Nov 14, 2023",235.03,238.14,230.72,237.41,237.41,149771600
"Nov 13, 2023",215.60,225.40,211.61,223.71,223.71,140447600
"Nov 10, 2023",210.03,215.38,205.69,214.65,214.65,130994000
"Nov 9, 2023",219.75,220.80,206.68,209.98,209.98,142110500
"Nov 8, 2023",223.15,224.15,217.64,222.11,222.11,106584800
"Nov 7, 2023",219.98,223.12,215.72,222.18,222.18,116900100
"Nov 6, 2023",223.98,226.32,215.00,219.27,219.27,117335800
"Nov 3, 2023",221.15,226.37,218.40,219.96,219.96,119281000
"Nov 2, 2023",212.97,219.20,211.45,218.51,218.51,125987600
"Nov 1, 2023",204.04,205.99,197.85,205.66,205.66,121661700
"Oct 31, 2023",196.12,202.80,194.07,200.84,200.84,118068300
"Oct 30, 2023",209.28,210.88,194.67,197.36,197.36,136448200
"Oct 27, 2023",210.60,212.41,205.77,207.30,207.30,94881200
"Oct 26, 2023",211.32,214.80,204.88,205.76,205.76,115112600
"Oct 25, 2023",215.88,220.10,212.20,212.42,212.42,107065100
"Oct 24, 2023",216.50,222.05,214.11,216.52,216.52,118231100
"Oct 23, 2023",210.00,216.98,202.51,212.08,212.08,150683400
"Oct 20, 2023",217.01,218.86,210.42,211.99,211.99,137734000
"Oct 19, 2023",225.95,230.61,216.78,220.11,220.11,170772700
"Oct 18, 2023",252.70,254.63,242.08,242.68,242.68,125147800
"Oct 17, 2023",250.10,257.18,247.08,254.85,254.85,93562900
"Oct 16, 2023",250.05,255.40,248.48,253.92,253.92,88917200
"Oct 13, 2023",258.90,259.60,250.22,251.12,251.12,102073800
"Oct 12, 2023",262.92,265.41,256.63,258.87,258.87,111508100
"Oct 11, 2023",266.20,268.60,260.90,262.99,262.99,103706300
"Oct 10, 2023",257.75,268.94,257.65,263.62,263.62,122656000
"Oct 9, 2023",255.31,261.36,252.05,259.67,259.67,101377900
"Oct 6, 2023",253.98,261.65,250.65,260.53,260.53,117947000
"Oct 5, 2023",260.00,263.60,256.25,260.05,260.05,119159200
"Oct 4, 2023",248.14,261.86,247.60,261.16,261.16,129721600
"Oct 3, 2023",248.61,250.02,244.45,246.53,246.53,101985300
"Oct 2, 2023",244.81,254.28,242.62,251.60,251.60,123810400
"Sep 29, 2023",250.00,254.77,246.35,250.22,250.22,128346200
"Sep 28, 2023",240.02,247.55,238.65,246.38,246.38,117058900
"Sep 27, 2023",244.26,245.33,234.58,240.50,240.50,136597200
"Sep 26, 2023",242.98,249.55,241.66,244.12,244.12,101993600
"Sep 25, 2023",243.38,247.10,238.31,246.99,246.99,104636600
"Sep 22, 2023",257.40,257.79,244.48,244.88,244.88,127524100
"Sep 21, 2023",257.85,260.86,254.21,255.70,255.70,119531000
"Sep 20, 2023",267.04,273.93,262.46,262.59,262.59,122514600
"Sep 19, 2023",264.35,267.85,261.20,266.50,266.50,103704000
"Sep 18, 2023",271.16,271.44,263.76,265.28,265.28,101543300
